Date,FC_ID,IsMetro,StockStart,Demand,DemandFulfilled,Backorders,StockEnd,ReorderPoint,OrderPlaced,OrderQty,LeadTimeFloat,SafetyStock
2021-01-03,FC_04,False,52,75,52,23,0,168,1,336,2.21,36
2021-01-03,FC_05,True,774,105,105,0,669,402,0,0,1.34,241
2021-01-03,FC_06,True,338,150,150,0,188,244,1,300,0.3,208
2021-01-03,FC_07,True,273,150,150,0,123,468,1,813,2.12,214
2021-01-03,FC_08,False,1272,90,90,0,1182,648,0,0,9.64,70
2021-01-03,FC_09,False,411,45,45,0,366,350,0,0,4.95,53
2021-01-03,FC_10,True,393,240,240,0,153,760,1,1367,4.44,227
2021-01-03,FC_11,False,213,52,52,0,161,198,1,235,1.42,113
2021-01-03,FC_12,True,887,180,180,0,707,927,1,1147,6.17,187
2021-01-03,FC_13,False,242,75,75,0,167,136,0,0,1.18,65
2021-01-03,FC_14,True,321,150,150,0,171,427,1,683,1.54,243
2021-01-03,FC_15,False,352,15,15,0,337,313,0,0,2.81,144
2021-01-03,FC_16,True,916,120,120,0,796,864,1,932,6.19,121
2021-01-03,FC_17,True,990,45,45,0,945,871,0,0,4.26,359
2021-01-03,FC_18,False,607,38,38,0,569,377,0,0,3.57,163
2021-01-03,FC_19,False,687,52,52,0,635,467,0,0,4.73,183
2021-01-03,FC_20,True,1512,90,90,0,1422,897,0,0,5.84,196
2021-01-04,FC_01,False,490,75,75,0,415,523,1,631,7.18,92
2021-01-04,FC_02,True,1485,15,15,0,1470,1023,0,0,4.23,516
2021-01-04,FC_03,False,311,52,52,0,259,342,1,425,3.39,138
2021-01-04,FC_04,False,202,52,52,0,150,168,1,186,2.21,36
2021-01-04,FC_05,True,1120,60,60,0,1060,402,0,0,1.34,241
2021-01-04,FC_06,True,488,75,75,0,413,244,0,0,0.3,208
2021-01-04,FC_07,True,606,120,120,0,486,468,0,0,2.12,214
2021-01-04,FC_08,False,1182,60,60,0,1122,648,0,0,9.64,70
2021-01-04,FC_09,False,366,60,60,0,306,350,1,394,4.95,53
2021-01-04,FC_10,True,153,105,105,0,48,760,1,1472,4.44,227
2021-01-04,FC_11,False,161,60,60,0,101,198,1,295,1.42,113
2021-01-04,FC_12,True,707,180,180,0,527,927,1,1327,6.17,187
2021-01-04,FC_13,False,402,22,22,0,380,136,0,0,1.18,65
2021-01-04,FC_14,True,704,105,105,0,599,427,0,0,1.54,243
2021-01-04,FC_15,False,337,52,52,0,285,313,1,341,2.81,144
2021-01-04,FC_16,True,796,105,105,0,691,864,1,1037,6.19,121
2021-01-04,FC_17,True,945,135,135,0,810,871,1,932,4.26,359
2021-01-04,FC_18,False,569,68,68,0,501,377,0,0,3.57,163
2021-01-04,FC_19,False,635,82,82,0,553,467,0,0,4.73,183
2021-01-04,FC_20,True,1422,105,105,0,1317,897,0,0,5.84,196
2021-01-05,FC_01,False,415,45,45,0,370,523,1,676,7.18,92
2021-01-05,FC_02,True,1470,60,60,0,1410,1023,0,0,4.23,516
2021-01-05,FC_03,False,259,120,120,0,139,342,1,545,3.39,138
2021-01-05,FC_04,False,434,52,52,0,382,168,0,0,2.21,36
2021-01-05,FC_05,True,1060,300,300,0,760,402,0,0,1.34,241
2021-01-05,FC_06,True,413,60,60,0,353,244,0,0,0.3,208
2021-01-05,FC_07,True,1149,165,165,0,984,468,0,0,2.12,214
2021-01-05,FC_08,False,1122,22,22,0,1100,648,0,0,9.64,70
2021-01-05,FC_09,False,306,90,90,0,216,350,1,484,4.95,53
2021-01-05,FC_10,True,48,45,45,0,3,760,1,1517,4.44,227
2021-01-05,FC_11,False,336,68,68,0,268,198,0,0,1.42,113
2021-01-05,FC_12,True,527,45,45,0,482,927,1,1372,6.17,187
2021-01-05,FC_13,False,380,30,30,0,350,136,0,0,1.18,65
2021-01-05,FC_14,True,1282,225,225,0,1057,427,0,0,1.54,243
2021-01-05,FC_15,False,285,38,38,0,247,313,1,379,2.81,144
2021-01-05,FC_16,True,691,180,180,0,511,864,1,1217,6.19,121
2021-01-05,FC_17,True,810,105,105,0,705,871,1,1037,4.26,359
2021-01-05,FC_18,False,501,15,15,0,486,377,0,0,3.57,163
2021-01-05,FC_19,False,553,82,82,0,471,467,0,0,4.73,183
2021-01-05,FC_20,True,1317,165,165,0,1152,897,0,0,5.84,196
2021-01-06,FC_01,False,370,52,52,0,318,523,1,728,7.18,92
2021-01-06,FC_02,True,1410,90,90,0,1320,1023,0,0,4.23,516
2021-01-06,FC_03,False,139,158,139,19,0,342,1,684,3.39,138
2021-01-06,FC_04,False,718,82,82,0,636,168,0,0,2.21,36
2021-01-06,FC_05,True,760,180,180,0,580,402,0,0,1.34,241
2021-01-06,FC_06,True,353,195,195,0,158,244,1,330,0.3,208
2021-01-06,FC_07,True,1797,60,60,0,1737,468,0,0,2.12,214
2021-01-06,FC_08,False,1100,68,68,0,1032,648,0,0,9.64,70
2021-01-06,FC_09,False,216,105,105,0,111,350,1,589,4.95,53
2021-01-06,FC_10,True,965,135,135,0,830,760,0,0,4.44,227
2021-01-06,FC_11,False,563,22,22,0,541,198,0,0,1.42,113
2021-01-06,FC_12,True,482,120,120,0,362,927,1,1492,6.17,187
2021-01-06,FC_13,False,350,38,38,0,312,136,0,0,1.18,65
2021-01-06,FC_14,True,1057,135,135,0,922,427,0,0,1.54,243
2021-01-06,FC_15,False,247,38,38,0,209,313,1,417,2.81,144
2021-01-06,FC_16,True,511,105,105,0,406,864,1,1322,6.19,121
2021-01-06,FC_17,True,705,165,165,0,540,871,1,1202,4.26,359
2021-01-06,FC_18,False,486,90,90,0,396,377,0,0,3.57,163
2021-01-06,FC_19,False,471,105,105,0,366,467,1,568,4.73,183
2021-01-06,FC_20,True,1152,90,90,0,1062,897,0,0,5.84,196
2021-01-07,FC_01,False,318,82,82,0,236,523,1,810,7.18,92
2021-01-07,FC_02,True,1320,180,180,0,1140,1023,0,0,4.23,516
2021-01-07,FC_03,False,373,38,38,0,335,342,1,349,3.39,138
2021-01-07,FC_04,False,822,90,90,0,732,168,0,0,2.21,36
2021-01-07,FC_05,True,580,90,90,0,490,402,0,0,1.34,241
2021-01-07,FC_06,True,488,285,285,0,203,244,1,285,0.3,208
2021-01-07,FC_07,True,1737,285,285,0,1452,468,0,0,2.12,214
2021-01-07,FC_08,False,1032,38,38,0,994,648,0,0,9.64,70
2021-01-07,FC_09,False,111,90,90,0,21,350,1,679,4.95,53
2021-01-07,FC_10,True,1957,180,180,0,1777,760,0,0,4.44,227
2021-01-07,FC_11,False,541,45,45,0,496,198,0,0,1.42,113
2021-01-07,FC_12,True,362,15,15,0,347,927,1,1507,6.17,187
2021-01-07,FC_13,False,312,75,75,0,237,136,0,0,1.18,65
2021-01-07,FC_14,True,922,210,210,0,712,427,0,0,1.54,243
2021-01-07,FC_15,False,550,22,22,0,528,313,0,0,2.81,144
2021-01-07,FC_16,True,406,255,255,0,151,864,1,1577,6.19,121
2021-01-07,FC_17,True,540,60,60,0,480,871,1,1262,4.26,359
2021-01-07,FC_18,False,396,30,30,0,366,377,1,388,3.57,163
2021-01-07,FC_19,False,366,30,30,0,336,467,1,598,4.73,183
2021-01-07,FC_20,True,1062,180,180,0,882,897,1,912,5.84,196
2021-01-08,FC_01,False,236,82,82,0,154,523,1,892,7.18,92
2021-01-08,FC_02,True,1140,15,15,0,1125,1023,0,0,4.23,516
2021-01-08,FC_03,False,760,90,90,0,670,342,0,0,3.39,138
2021-01-08,FC_04,False,732,75,75,0,657,168,0,0,2.21,36
2021-01-08,FC_05,True,490,135,135,0,355,402,1,449,1.34,241
2021-01-08,FC_06,True,488,135,135,0,353,244,0,0,0.3,208
2021-01-08,FC_07,True,1452,210,210,0,1242,468,0,0,2.12,214
2021-01-08,FC_08,False,994,45,45,0,949,648,0,0,9.64,70
2021-01-08,FC_09,False,21,60,21,39,0,350,1,700,4.95,53
2021-01-08,FC_10,True,3144,90,90,0,3054,760,0,0,4.44,227
2021-01-08,FC_11,False,496,52,52,0,444,198,0,0,1.42,113
2021-01-08,FC_12,True,347,165,165,0,182,927,1,1672,6.17,187
2021-01-08,FC_13,False,237,38,38,0,199,136,0,0,1.18,65
2021-01-08,FC_14,True,712,135,135,0,577,427,0,0,1.54,243
2021-01-08,FC_15,False,907,120,120,0,787,313,0,0,2.81,144
2021-01-08,FC_16,True,151,195,151,44,0,864,1,1728,6.19,121
2021-01-08,FC_17,True,480,105,105,0,375,871,1,1367,4.26,359
2021-01-08,FC_18,False,366,38,38,0,328,377,1,426,3.57,163
2021-01-08,FC_19,False,336,52,52,0,284,467,1,650,4.73,183
2021-01-08,FC_20,True,882,90,90,0,792,897,1,1002,5.84,196
2021-01-09,FC_01,False,154,0,0,0,154,523,1,892,7.18,92
2021-01-09,FC_02,True,1125,120,120,0,1005,1023,1,1041,4.23,516
2021-01-09,FC_03,False,1215,52,52,0,1163,342,0,0,3.39,138
2021-01-09,FC_04,False,657,45,45,0,612,168,0,0,2.21,36
2021-01-09,FC_05,True,355,180,180,0,175,402,1,629,1.34,241
2021-01-09,FC_06,True,353,165,165,0,188,244,1,300,0.3,208
2021-01-09,FC_07,True,1242,120,120,0,1122,468,0,0,2.12,214
2021-01-09,FC_08,False,949,45,45,0,904,648,0,0,9.64,70
2021-01-09,FC_09,False,394,52,52,0,342,350,1,358,4.95,53
2021-01-09,FC_10,True,4526,30,30,0,4496,760,0,0,4.44,227
2021-01-09,FC_11,False,444,52,52,0,392,198,0,0,1.42,113
2021-01-09,FC_12,True,1149,90,90,0,1059,927,0,0,6.17,187
2021-01-09,FC_13,False,199,60,60,0,139,136,0,0,1.18,65
2021-01-09,FC_14,True,577,120,120,0,457,427,0,0,1.54,243
2021-01-09,FC_15,False,1204,22,22,0,1182,313,0,0,2.81,144
2021-01-09,FC_16,True,0,150,0,150,0,864,1,1728,6.19,121
2021-01-09,FC_17,True,1307,120,120,0,1187,871,0,0,4.26,359
2021-01-09,FC_18,False,328,82,82,0,246,377,1,508,3.57,163
2021-01-09,FC_19,False,284,22,22,0,262,467,1,672,4.73,183
2021-01-09,FC_20,True,792,105,105,0,687,897,1,1107,5.84,196
2021-01-10,FC_01,False,154,45,45,0,109,523,1,937,7.18,92
2021-01-10,FC_02,True,1005,45,45,0,960,1023,1,1086,4.23,516
2021-01-10,FC_03,False,1847,68,68,0,1779,342,0,0,3.39,138
2021-01-10,FC_04,False,612,38,38,0,574,168,0,0,2.21,36
2021-01-10,FC_05,True,624,60,60,0,564,402,0,0,1.34,241
2021-01-10,FC_06,True,488,105,105,0,383,244,0,0,0.3,208
2021-01-10,FC_07,True,1122,180,180,0,942,468,0,0,2.12,214
2021-01-10,FC_08,False,904,60,60,0,844,648,0,0,9.64,70
2021-01-10,FC_09,False,826,22,22,0,804,350,0,0,4.95,53
2021-01-10,FC_10,True,6013,60,60,0,5953,760,0,0,4.44,227
2021-01-10,FC_11,False,392,52,52,0,340,198,0,0,1.42,113
2021-01-10,FC_12,True,2206,135,135,0,2071,927,0,0,6.17,187
2021-01-10,FC_13,False,139,98,98,0,41,136,1,231,1.18,65
2021-01-10,FC_14,True,457,150,150,0,307,427,1,547,1.54,243
2021-01-10,FC_15,False,1182,135,135,0,1047,313,0,0,2.81,144
2021-01-10,FC_16,True,932,180,180,0,752,864,1,976,6.19,121
2021-01-10,FC_17,True,2224,45,45,0,2179,871,0,0,4.26,359
2021-01-10,FC_18,False,246,60,60,0,186,377,1,568,3.57,163
2021-01-10,FC_19,False,262,30,30,0,232,467,1,702,4.73,183
2021-01-10,FC_20,True,687,150,150,0,537,897,1,1257,5.84,196
2021-01-11,FC_01,False,665,45,45,0,620,523,0,0,7.18,92
2021-01-11,FC_02,True,960,210,210,0,750,1023,1,1296,4.23,516
2021-01-11,FC_03,False,2128,90,90,0,2038,342,0,0,3.39,138
2021-01-11,FC_04,False,574,52,52,0,522,168,0,0,2.21,36
2021-01-11,FC_05,True,1193,150,150,0,1043,402,0,0,1.34,241
2021-01-11,FC_06,True,383,180,180,0,203,244,1,285,0.3,208
2021-01-11,FC_07,True,942,45,45,0,897,468,0,0,2.12,214
2021-01-11,FC_08,False,844,60,60,0,784,648,0,0,9.64,70
2021-01-11,FC_09,False,1393,45,45,0,1348,350,0,0,4.95,53
2021-01-11,FC_10,True,5953,120,120,0,5833,760,0,0,4.44,227
2021-01-11,FC_11,False,340,82,82,0,258,198,0,0,1.42,113
2021-01-11,FC_12,True,3398,90,90,0,3308,927,0,0,6.17,187
2021-01-11,FC_13,False,41,45,41,4,0,136,1,272,1.18,65
2021-01-11,FC_14,True,307,120,120,0,187,427,1,667,1.54,243
2021-01-11,FC_15,False,1047,52,52,0,995,313,0,0,2.81,144
2021-01-11,FC_16,True,1789,90,90,0,1699,864,0,0,6.19,121
2021-01-11,FC_17,True,3381,165,165,0,3216,871,0,0,4.26,359
2021-01-11,FC_18,False,574,45,45,0,529,377,0,0,3.57,163
2021-01-11,FC_19,False,800,82,82,0,718,467,0,0,4.73,183
2021-01-11,FC_20,True,537,135,135,0,402,897,1,1392,5.84,196
2021-01-12,FC_01,False,1251,52,52,0,1199,523,0,0,7.18,92
2021-01-12,FC_02,True,750,195,195,0,555,1023,1,1491,4.23,516
2021-01-12,FC_03,False,2038,15,15,0,2023,342,0,0,3.39,138
2021-01-12,FC_04,False,522,98,98,0,424,168,0,0,2.21,36
2021-01-12,FC_05,True,1043,105,105,0,938,402,0,0,1.34,241
2021-01-12,FC_06,True,488,165,165,0,323,244,0,0,0.3,208
2021-01-12,FC_07,True,897,165,165,0,732,468,0,0,2.12,214
2021-01-12,FC_08,False,784,68,68,0,716,648,0,0,9.64,70
2021-01-12,FC_09,False,2027,15,15,0,2012,350,0,0,4.95,53
2021-01-12,FC_10,True,5833,210,210,0,5623,760,0,0,4.44,227
2021-01-12,FC_11,False,258,68,68,0,190,198,1,206,1.42,113
2021-01-12,FC_12,True,4680,225,225,0,4455,927,0,0,6.17,187
2021-01-12,FC_13,False,231,22,22,0,209,136,0,0,1.18,65
2021-01-12,FC_14,True,734,45,45,0,689,427,0,0,1.54,243
2021-01-12,FC_15,False,995,52,52,0,943,313,0,0,2.81,144
2021-01-12,FC_16,True,2916,90,90,0,2826,864,0,0,6.19,121
2021-01-12,FC_17,True,4478,165,165,0,4313,871,0,0,4.26,359
2021-01-12,FC_18,False,955,112,112,0,843,377,0,0,3.57,163
2021-01-12,FC_19,False,1316,52,52,0,1264,467,0,0,4.73,183
2021-01-12,FC_20,True,402,255,255,0,147,897,1,1647,5.84,196
2021-01-13,FC_01,False,1875,38,38,0,1837,523,0,0,7.18,92
2021-01-13,FC_02,True,555,75,75,0,480,1023,1,1566,4.23,516
2021-01-13,FC_03,False,2023,8,8,0,2015,342,0,0,3.39,138
2021-01-13,FC_04,False,424,52,52,0,372,168,0,0,2.21,36
2021-01-13,FC_05,True,938,105,105,0,833,402,0,0,1.34,241
2021-01-13,FC_06,True,323,90,90,0,233,244,1,255,0.3,208
2021-01-13,FC_07,True,732,15,15,0,717,468,0,0,2.12,214
2021-01-13,FC_08,False,716,45,45,0,671,648,0,0,9.64,70
2021-01-13,FC_09,False,2712,52,52,0,2660,350,0,0,4.95,53
2021-01-13,FC_10,True,5623,105,105,0,5518,760,0,0,4.44,227
2021-01-13,FC_11,False,190,45,45,0,145,198,1,251,1.42,113
2021-01-13,FC_12,True,5947,180,180,0,5767,927,0,0,6.17,187
2021-01-13,FC_13,False,481,68,68,0,413,136,0,0,1.18,65
2021-01-13,FC_14,True,1356,165,165,0,1191,427,0,0,1.54,243
2021-01-13,FC_15,False,943,82,82,0,861,313,0,0,2.81,144
2021-01-13,FC_16,True,4148,105,105,0,4043,864,0,0,6.19,121
2021-01-13,FC_17,True,5680,60,60,0,5620,871,0,0,4.26,359
2021-01-13,FC_18,False,1351,22,22,0,1329,377,0,0,3.57,163
2021-01-13,FC_19,False,1914,82,82,0,1832,467,0,0,4.73,183
2021-01-13,FC_20,True,1059,135,135,0,924,897,0,0,5.84,196
2021-01-14,FC_01,False,2565,52,52,0,2513,523,0,0,7.18,92
2021-01-14,FC_02,True,1521,300,300,0,1221,1023,0,0,4.23,516
2021-01-14,FC_03,False,2015,22,22,0,1993,342,0,0,3.39,138
2021-01-14,FC_04,False,372,150,150,0,222,168,0,0,2.21,36
2021-01-14,FC_05,True,833,30,30,0,803,402,0,0,1.34,241
2021-01-14,FC_06,True,488,120,120,0,368,244,0,0,0.3,208
2021-01-14,FC_07,True,717,195,195,0,522,468,0,0,2.12,214
2021-01-14,FC_08,False,671,52,52,0,619,648,1,677,9.64,70
2021-01-14,FC_09,False,3018,195,195,0,2823,350,0,0,4.95,53
2021-01-14,FC_10,True,5518,120,120,0,5398,760,0,0,4.44,227
2021-01-14,FC_11,False,351,8,8,0,343,198,0,0,1.42,113
2021-01-14,FC_12,True,7274,150,150,0,7124,927,0,0,6.17,187
2021-01-14,FC_13,False,413,38,38,0,375,136,0,0,1.18,65
2021-01-14,FC_14,True,1191,90,90,0,1101,427,0,0,1.54,243
2021-01-14,FC_15,False,861,38,38,0,823,313,0,0,2.81,144
2021-01-14,FC_16,True,5620,135,135,0,5485,864,0,0,6.19,121
2021-01-14,FC_17,True,5620,105,105,0,5515,871,0,0,4.26,359
2021-01-14,FC_18,False,1897,45,45,0,1852,377,0,0,3.57,163
2021-01-14,FC_19,False,2504,60,60,0,2444,467,0,0,4.73,183
2021-01-14,FC_20,True,1926,15,15,0,1911,897,0,0,5.84,196
2021-01-15,FC_01,False,3323,38,38,0,3285,523,0,0,7.18,92
2021-01-15,FC_02,True,2307,75,75,0,2232,1023,0,0,4.23,516
2021-01-15,FC_03,False,1993,60,60,0,1933,342,0,0,3.39,138
2021-01-15,FC_04,False,222,22,22,0,200,168,0,0,2.21,36
2021-01-15,FC_05,True,803,255,255,0,548,402,0,0,1.34,241
2021-01-15,FC_06,True,368,105,105,0,263,244,0,0,0.3,208
2021-01-15,FC_07,True,522,105,105,0,417,468,1,519,2.12,214
2021-01-15,FC_08,False,619,52,52,0,567,648,1,729,9.64,70
2021-01-15,FC_09,False,2823,38,38,0,2785,350,0,0,4.95,53
2021-01-15,FC_10,True,5398,0,0,0,5398,760,0,0,4.44,227
2021-01-15,FC_11,False,594,30,30,0,564,198,0,0,1.42,113
2021-01-15,FC_12,True,8796,270,270,0,8526,927,0,0,6.17,187
2021-01-15,FC_13,False,375,38,38,0,337,136,0,0,1.18,65
2021-01-15,FC_14,True,1101,60,60,0,1041,427,0,0,1.54,243
2021-01-15,FC_15,False,823,15,15,0,808,313,0,0,2.81,144
2021-01-15,FC_16,True,7213,120,120,0,7093,864,0,0,6.19,121
2021-01-15,FC_17,True,5515,150,150,0,5365,871,0,0,4.26,359
2021-01-15,FC_18,False,1852,82,82,0,1770,377,0,0,3.57,163
2021-01-15,FC_19,False,3146,90,90,0,3056,467,0,0,4.73,183
2021-01-15,FC_20,True,3018,120,120,0,2898,897,0,0,5.84,196
2021-01-16,FC_01,False,4177,90,90,0,4087,523,0,0,7.18,92
2021-01-16,FC_02,True,3528,195,195,0,3333,1023,0,0,4.23,516
2021-01-16,FC_03,False,1933,60,60,0,1873,342,0,0,3.39,138
2021-01-16,FC_04,False,200,30,30,0,170,168,0,0,2.21,36
2021-01-16,FC_05,True,548,135,135,0,413,402,0,0,1.34,241
2021-01-16,FC_06,True,263,135,135,0,128,244,1,360,0.3,208
2021-01-16,FC_07,True,417,45,45,0,372,468,1,564,2.12,214
2021-01-16,FC_08,False,567,112,112,0,455,648,1,841,9.64,70
2021-01-16,FC_09,False,2785,30,30,0,2755,350,0,0,4.95,53
2021-01-16,FC_10,True,5398,75,75,0,5323,760,0,0,4.44,227
2021-01-16,FC_11,False,564,38,38,0,526,198,0,0,1.42,113
2021-01-16,FC_12,True,8526,60,60,0,8466,927,0,0,6.17,187
2021-01-16,FC_13,False,337,75,75,0,262,136,0,0,1.18,65
2021-01-16,FC_14,True,1041,135,135,0,906,427,0,0,1.54,243
2021-01-16,FC_15,False,808,52,52,0,756,313,0,0,2.81,144
2021-01-16,FC_16,True,8821,255,255,0,8566,864,0,0,6.19,121
2021-01-16,FC_17,True,5365,120,120,0,5245,871,0,0,4.26,359
2021-01-16,FC_18,False,1770,22,22,0,1748,377,0,0,3.57,163
2021-01-16,FC_19,False,3056,52,52,0,3004,467,0,0,4.73,183
2021-01-16,FC_20,True,4155,150,150,0,4005,897,0,0,5.84,196
2021-01-17,FC_01,False,4979,52,52,0,4927,523,0,0,7.18,92
2021-01-17,FC_02,True,4824,75,75,0,4749,1023,0,0,4.23,516
2021-01-17,FC_03,False,1873,60,60,0,1813,342,0,0,3.39,138
2021-01-17,FC_04,False,170,105,105,0,65,168,1,271,2.21,36
2021-01-17,FC_05,True,413,75,75,0,338,402,1,466,1.34,241
2021-01-17,FC_06,True,488,120,120,0,368,244,0,0,0.3,208
2021-01-17,FC_07,True,372,60,60,0,312,468,1,624,2.12,214
2021-01-17,FC_08,False,455,90,90,0,365,648,1,931,9.64,70
2021-01-17,FC_09,False,2755,30,30,0,2725,350,0,0,4.95,53
2021-01-17,FC_10,True,5323,60,60,0,5263,760,0,0,4.44,227
2021-01-17,FC_11,False,526,45,45,0,481,198,0,0,1.42,113
2021-01-17,FC_12,True,8466,120,120,0,8346,927,0,0,6.17,187
2021-01-17,FC_13,False,262,150,150,0,112,136,1,160,1.18,65
2021-01-17,FC_14,True,906,135,135,0,771,427,0,0,1.54,243
2021-01-17,FC_15,False,756,30,30,0,726,313,0,0,2.81,144
2021-01-17,FC_16,True,9542,75,75,0,9467,864,0,0,6.19,121
2021-01-17,FC_17,True,5245,120,120,0,5125,871,0,0,4.26,359
2021-01-17,FC_18,False,1748,30,30,0,1718,377,0,0,3.57,163
2021-01-17,FC_19,False,3004,60,60,0,2944,467,0,0,4.73,183
2021-01-17,FC_20,True,5397,60,60,0,5337,897,0,0,5.84,196
2021-01-18,FC_01,False,5864,82,82,0,5782,523,0,0,7.18,92
2021-01-18,FC_02,True,6315,120,120,0,6195,1023,0,0,4.23,516
2021-01-18,FC_03,False,1813,22,22,0,1791,342,0,0,3.39,138
2021-01-18,FC_04,False,65,45,45,0,20,168,1,316,2.21,36
2021-01-18,FC_05,True,338,105,105,0,233,402,1,571,1.34,241
2021-01-18,FC_06,True,368,120,120,0,248,244,0,0,0.3,208
2021-01-18,FC_07,True,831,105,105,0,726,468,0,0,2.12,214
2021-01-18,FC_08,False,365,68,68,0,297,648,1,999,9.64,70
2021-01-18,FC_09,False,2725,98,98,0,2627,350,0,0,4.95,53
2021-01-18,FC_10,True,5263,75,75,0,5188,760,0,0,4.44,227
2021-01-18,FC_11,False,481,82,82,0,399,198,0,0,1.42,113
2021-01-18,FC_12,True,8346,165,165,0,8181,927,0,0,6.17,187
2021-01-18,FC_13,False,112,30,30,0,82,136,1,190,1.18,65
2021-01-18,FC_14,True,771,150,150,0,621,427,0,0,1.54,243
2021-01-18,FC_15,False,726,52,52,0,674,313,0,0,2.81,144
2021-01-18,FC_16,True,9467,150,150,0,9317,864,0,0,6.19,121
2021-01-18,FC_17,True,5125,150,150,0,4975,871,0,0,4.26,359
2021-01-18,FC_18,False,1718,38,38,0,1680,377,0,0,3.57,163
2021-01-18,FC_19,False,2944,68,68,0,2876,467,0,0,4.73,183
2021-01-18,FC_20,True,6984,75,75,0,6909,897,0,0,5.84,196
2021-01-19,FC_01,False,5782,15,15,0,5767,523,0,0,7.18,92
2021-01-19,FC_02,True,6195,165,165,0,6030,1023,0,0,4.23,516
2021-01-19,FC_03,False,1791,105,105,0,1686,342,0,0,3.39,138
2021-01-19,FC_04,False,20,38,20,18,0,168,1,336,2.21,36
2021-01-19,FC_05,True,699,120,120,0,579,402,0,0,1.34,241
2021-01-19,FC_06,True,248,165,165,0,83,244,1,405,0.3,208
2021-01-19,FC_07,True,1290,45,45,0,1245,468,0,0,2.12,214
2021-01-19,FC_08,False,297,75,75,0,222,648,1,1074,9.64,70
2021-01-19,FC_09,False,2627,52,52,0,2575,350,0,0,4.95,53
2021-01-19,FC_10,True,5188,135,135,0,5053,760,0,0,4.44,227
2021-01-19,FC_11,False,399,30,30,0,369,198,0,0,1.42,113
2021-01-19,FC_12,True,8181,225,225,0,7956,927,0,0,6.17,187
2021-01-19,FC_13,False,242,105,105,0,137,136,0,0,1.18,65
2021-01-19,FC_14,True,621,135,135,0,486,427,0,0,1.54,243
2021-01-19,FC_15,False,674,60,60,0,614,313,0,0,2.81,144
